MMWR Surveillance Summaries,MMWR SURVEILL SUMM,CENTERS DISEASE CONTROL & PREVENTION,1545-8636,1545-8636.1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,"3,442",37.3,Q1,8.49,72.41%,Unnamed: 12
ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,PERGAMON-ELSEVIER SCIENCE LTD,0001-4575,1879-2057,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"26,898",5.7,Q1,1.98,16.01%,
ACS Chemical Health & Safety,ACS CHEM HEALTH SAFE,AMER CHEMICAL SOC,1871-5532,1878-0504,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",ESCI,359,2.9,Q2,0.73,9.09%,
ACTA SCIENTIARUM-HEALTH SCIENCES,ACTA SCI-HEALTH SCI,"UNIV ESTADUAL MARINGA, PRO-REITORIA PESQUISA POS-GRADUACAO",1679-9291,1807-8648,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",ESCI,92,0.1,Q4,0.05,98.94%,
AIDS AND BEHAVIOR,AIDS BEHAV,SPRINGER/PLENUM PUBLISHERS,1090-7165,1573-3254,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"12,068",2.7,Q2,0.96,26.08%,
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,AIDS CARE,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0954-0121,1360-0451,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"6,065",1.2,Q4,0.43,15.54%,
AIDS EDUCATION AND PREVENTION,AIDS EDUC PREV,GUILFORD PUBLICATIONS INC,0899-9546,1943-2755,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"1,243",1.6,Q3,0.62,0%,
AIDS PATIENT CARE AND STDS,AIDS PATIENT CARE ST,"MARY ANN LIEBERT, INC",1087-2914,1557-7449,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"3,022",3.4,Q1,0.93,18.24%,
AJAR-African Journal of AIDS Research,AJAR-AFR J AIDS RES,TAYLOR & FRANCIS LTD,1608-5906,1727-9445,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI",602,1.1,Q4,0.32,27.59%,
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,AM J COMMUN PSYCHOL,WILEY,0091-0562,1573-2770,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"7,334",3.4,Q1,1.13,26.92%,
