Nature Sustainability,NAT SUSTAIN,NATURE PORTFOLIO,2398-9629,2398-9629.1,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SSCI,"18,380",25.7,Q1,4.51,19.28%,Unnamed: 12
ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,AMER CHEMICAL SOC,2168-0485,2168-0485,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"95,522",7.1,Q1,1.27,9.4%,
Advanced Energy and Sustainability Research,ADV ENERG SUST RES,WILEY,2699-9412,2699-9412,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,"2,130",6.2,Q2,0.71,82.08%,
Advanced Sustainable Systems,ADV SUSTAIN SYST,WILEY-V C H VERLAG GMBH,2366-7486,2366-7486,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"4,398",6.5,Q2,1.0,23%,
Agroecology and Sustainable Food Systems,AGROECOL SUST FOOD,TAYLOR & FRANCIS INC,2168-3565,2168-3573,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"1,726",2.4,Q3,0.54,21.39%,
Agronomy for Sustainable Development,AGRON SUSTAIN DEV,SPRINGER FRANCE,1774-0746,1773-0155,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"10,023",6.4,Q2,1.12,58.89%,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,,
CLEAN-Soil Air Water,CLEAN-SOIL AIR WATER,WILEY,1863-0650,1863-0669,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"3,247",1.5,Q4,0.34,5.38%,
Carbon Capture Science & Technology,CARBON CAPTURE SCI T,ELSEVIER,2772-6568,2772-6568,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,878,10.4,Q1,1.17,93.66%,
Challenges in Sustainability,CHALL SUSTAIN,LIBRELLO PUBLISHING HOUSE,2297-6477,2297-6477,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,64,0.8,Q4,0.16,85.71%,
ChemSusChem,CHEMSUSCHEM,WILEY-V C H VERLAG GMBH,1864-5631,1864-564X,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"38,697",7.5,Q1,1.11,24.93%,
Clean Energy,CLEAN ENERGY-CHINA,OXFORD UNIV PRESS,2515-4230,2515-396X,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,820,2.9,Q3,0.35,96.02%,
Clean Technologies,CLEAN TECHNOL-BASEL,MDPI,,2571-8797,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,766,4.0,Q3,0.49,98.97%,
Clean Technologies and Environmental Policy,CLEAN TECHNOL ENVIR,SPRINGER,1618-954X,1618-9558,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"6,836",4.2,Q3,0.59,13.76%,
Cleaner Engineering and Technology,CLEAN ENG TECHNOL,ELSEVIER,2666-7908,2666-7908,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,"3,442",5.3,Q2,0.7,96.97%,
Cleaner Environmental Systems,CLEAN ENVIRON SYST,ELSEVIER,2666-7894,2666-7894,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,639,6.1,Q2,0.92,93.55%,
Cleaner and Responsible Consumption,CLEAN RESPONS CONSUM,ELSEVIER,2666-7843,2666-7843,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,416,3.7,Q3,0.63,93.38%,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,,
Current Green Chemistry,CURR GREEN CHEM,BENTHAM SCIENCE PUBL LTD,2213-3461,2213-347X,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,254,1.1,Q4,0.18,0%,
Current Opinion in Environmental Sustainability,CURR OPIN ENV SUST,ELSEVIER SCI LTD,1877-3435,1877-3443,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"8,552",6.6,Q2,1.02,45.63%,
Current Opinion in Green and Sustainable Chemistry,CURR OPIN GREEN SUST,ELSEVIER,2452-2236,2452-2236,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"5,398",9.3,Q1,1.33,26.27%,
Discover Sustainability,DISCOV SUSTAIN,SPRINGERNATURE,,2662-9984,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,300,2.4,Q3,0.31,100%,
ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,ENVIRON DEV SUSTAIN,SPRINGER,1387-585X,1573-2975,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"16,812",4.7,Q2,0.8,10.22%,
ENVIRONMENTAL QUALITY MANAGEMENT,ENVIRON QUAL MANAG,WILEY,1088-1913,1520-6483,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,830,1.5,Q4,0.35,3.03%,
EcoMat,ECOMAT,WILEY,,2567-3173,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"2,935",10.7,Q1,1.49,91.2%,
Energy Ecology and Environment,ENERGY ECOL ENVIRON,SPRINGERNATURE,2363-7692,2363-8338,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,"1,093",3.9,Q3,0.8,16.67%,
Energy Efficiency,ENERG EFFIC,SPRINGER,1570-646X,1570-6478,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,"SCIE, SSCI","2,635",3.2,Q3,0.58,32.82%,
Energy Sustainability and Society,ENERGY SUSTAIN SOC,BMC,2192-0567,2192-0567,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"1,574",4.6,Q2,0.69,99.3%,
Energy for Sustainable Development,ENERGY SUSTAIN DEV,ELSEVIER,0973-0826,2352-4669,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"4,991",4.4,Q2,0.75,20.34%,
