WATER RESEARCH,WATER RES,PERGAMON-ELSEVIER SCIENCE LTD,0043-1354,1879-2448,WATER RESOURCES,SCIE,"148,888",13.4,Q1,2.13,11.09%,Unnamed: 12
ADVANCES IN WATER RESOURCES,ADV WATER RESOUR,ELSEVIER SCI LTD,0309-1708,1872-9657,WATER RESOURCES,SCIE,"16,832",5.361,Q1,1.37,12.26%,
AQUA-Water Infrastructure Ecosystems and Society,AQUA-UK,IWA PUBLISHING,2709-8028,2709-8036,WATER RESOURCES,SCIE,36,,,,89.62%,
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,AQUAT CONSERV,WILEY,1052-7613,1099-0755,WATER RESOURCES,SCIE,"6,187",3.258,Q2,0.75,10.56%,
Agricultural Water Management,AGR WATER MANAGE,ELSEVIER,0378-3774,1873-2283,WATER RESOURCES,SCIE,"28,803",6.611,Q1,1.81,6.18%,
Applied Water Science,APPL WATER SCI,SPRINGER HEIDELBERG,2190-5487,2190-5495,WATER RESOURCES,SCIE,"7,593",5.411,Q1,1.07,99.84%,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,,
CATENA,CATENA,ELSEVIER,0341-8162,1872-6887,WATER RESOURCES,SCIE,"27,227",6.367,Q1,1.57,4.59%,
CHINA OCEAN ENGINEERING,CHINA OCEAN ENG,CHINA OCEAN PRESS,0890-5487,2191-8945,WATER RESOURCES,SCIE,"1,094",1.253,Q4,0.33,77.45%,
CLEAN-Soil Air Water,CLEAN-SOIL AIR WATER,WILEY,1863-0650,1863-0669,WATER RESOURCES,SCIE,"4,138",2.404,Q3,0.39,1.86%,
Canadian Water Resources Journal,CAN WATER RESOUR J,TAYLOR & FRANCIS INC,0701-1784,1918-1817,WATER RESOURCES,SCIE,"1,111",2.0,Q3,0.42,0%,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,,
DESALINATION,DESALINATION,ELSEVIER,0011-9164,1873-4464,WATER RESOURCES,SCIE,"60,800",11.211,Q1,2.02,6.19%,
Desalination and Water Treatment,DESALIN WATER TREAT,DESALINATION PUBL,1944-3994,1944-3986,WATER RESOURCES,SCIE,"21,105",1.273,Q4,0.24,0%,
ECOHYDROLOGY & HYDROBIOLOGY,ECOHYDROL HYDROBIOL,EUROPEAN REGIONAL CENTRE ECOHYDROLOGY POLISH ACAD SCIENCES,1642-3593,2080-3397,WATER RESOURCES,SCIE,"1,155",2.957,Q3,0.79,4.52%,
ENVIRONMENTAL FLUID MECHANICS,ENVIRON FLUID MECH,SPRINGER,1567-7419,1573-1510,WATER RESOURCES,SCIE,"1,841",2.618,Q3,0.66,16%,
ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,ENVIRON GEOCHEM HLTH,SPRINGER,0269-4042,1573-2983,WATER RESOURCES,SCIE,"8,659",4.898,Q1,0.94,9.05%,
